1.14	2.038	81.353	91.363	24.803	-13.635	35.0	0.0	51.825	-0.36	1.975	81.885	0.0	33.086	-7.567	29.0	1.86	87.473	-0.82	3.1	0.0	71.18	23.714	-11.556	0.4	0.0	51.147	0.3	4.912	0.0	33.084	31.124	-1.109	35.6	0.939	51.438	0.18	4.287	0.0	94.585	11.363	-9.029	0.6	0.0	73.815	-1.0	3.85	0.0	0.0	0.0	0.0	0.8	0.0	41.363	0.96	4.1	97.305	92.992	9.184	-25.13	0.6	0.955	30.998	-0.04	5.35	0.0	93.861	27.273	-11.034	32.2	0.0	37.586	1.78	4.975	0.0	37.147	21.534	-11.344	0.6	0.0	353.962	0.86	3.038	0.0	29.273	8.748	-1.0	37.6	1.332	75.462	0.58
1.0	2.475	166.96	91.386	24.876	-13.106	35.0	0.0	53.375	-0.3	2.788	140.906	10.472	32.577	-7.697	29.0	1.45	82.824	-0.84	3.163	0.0	71.175	24.077	-11.73	0.4	1.182	54.053	0.61	5.225	0.0	33.015	31.415	-1.247	35.6	1.081	40.104	0.56	4.537	0.0	94.615	11.218	-8.883	0.6	0.0	65.871	-1.0	3.725	0.0	0.0	0.0	0.0	0.8	0.0	49.888	0.66	4.35	130.803	92.949	9.547	-25.409	0.6	1.173	33.711	0.02	5.225	0.0	93.838	27.201	-10.985	32.2	0.0	28.674	1.8	5.412	0.0	37.149	21.389	-11.482	0.6	0.0	355.222	0.72	3.1	0.0	29.261	9.184	-1.0	37.6	1.492	70.134	0.58
1.02	2.538	144.628	91.371	24.44	-13.412	35.0	1.123	59.284	-0.32	3.038	157.389	3.479	33.013	-7.738	29.0	1.425	83.405	-0.78	3.163	0.0	71.162	23.859	-12.269	0.4	1.374	51.341	0.58	5.412	0.0	33.012	31.56	-1.31	35.6	1.148	54.247	0.54	4.537	0.0	94.61	11.581	-8.854	0.6	0.955	57.831	-1.0	4.225	0.0	0.0	0.0	0.0	0.8	1.039	39.135	0.77	4.6	115.383	92.939	9.111	-25.875	0.6	1.45	26.736	0.2	5.537	0.0	93.889	26.765	-11.189	32.2	0.0	40.976	1.45	5.162	0.0	37.24	21.244	-11.829	0.6	0.0	343.597	0.87	3.35	0.0	29.24	8.748	-25.164	37.6	1.735	75.074	0.67
0.92	2.288	138.247	91.365	24.731	-13.018	35.0	1.508	43.398	-0.25	2.913	133.994	0.627	32.94	-7.709	29.0	2.129	81.08	-0.87	2.975	0.0	71.169	23.786	-11.962	0.4	1.441	53.86	0.38	4.787	0.0	33.091	30.833	-1.102	35.6	1.374	51.438	0.68	4.725	0.0	94.61	11.581	-8.876	0.8	0.0	67.809	-1.0	3.788	0.0	0.0	0.0	0.0	0.8	1.198	47.563	0.58	4.037	81.353	92.847	9.038	-25.108	0.6	1.341	38.554	0.16	5.475	0.0	93.878	26.983	-10.901	32.2	0.0	31.58	2.1	5.162	0.0	37.148	20.808	-11.592	0.6	0.0	350.959	0.68	3.288	0.0	29.324	9.547	-1.0	37.6	1.827	79.143	0.8
1.24	2.788	190.888	91.41	24.731	-13.158	35.0	1.399	71.877	-0.36	2.975	203.117	2.88	32.65	-7.732	29.0	0.0	90.283	-0.62	3.288	0.0	71.169	24.077	-11.834	0.4	0.972	46.207	0.54	4.912	0.0	33.041	30.833	-1.621	35.6	1.039	47.563	0.7	4.6	0.0	94.596	11.0	-8.876	0.8	0.0	59.187	-1.0	3.975	0.0	0.0	0.0	0.0	0.8	0.972	51.05	0.86	4.1	85.607	92.764	8.966	-25.323	0.6	0.964	35.648	0.1	5.225	0.0	87.389	26.62	-11.838	32.2	0.0	26.639	1.32	4.912	0.0	37.291	21.462	-11.67	0.6	0.0	0.097	0.82	3.288	0.0	29.269	8.893	-1.0	37.6	1.944	81.952	0.68
0.84	2.6	164.302	91.384	24.585	-14.331	35.0	1.475	65.968	-0.29	2.975	191.951	3.704	32.94	-7.715	29.0	0.0	86.311	-0.72	3.163	0.0	71.048	23.859	-11.815	0.4	1.031	55.41	0.26	5.037	0.0	33.112	31.124	-1.391	35.6	1.006	58.025	0.68	4.6	0.0	94.591	11.363	-8.883	0.8	0.0	58.413	-1.0	3.725	0.0	0.0	0.0	0.0	0.8	0.0	48.241	0.55	4.1	87.202	92.759	9.038	-25.701	0.6	1.031	29.448	0.14	5.35	0.0	84.75	26.547	-11.129	32.2	0.0	26.93	0.96	5.225	0.0	37.349	21.316	-12.005	0.6	0.0	334.685	0.8	3.35	0.0	29.267	9.184	-1.0	37.6	1.944	90.67	0.67
0.7	2.038	98.9	91.346	24.731	-14.092	35.0	1.894	61.319	-0.3	2.975	120.701	21.654	32.65	-1.429	29.0	0.0	84.083	-0.65	2.975	0.0	70.81	23.714	-12.007	0.4	1.073	51.05	0.12	4.662	0.0	33.132	30.833	-1.06	35.6	1.031	49.016	0.26	4.162	0.0	94.589	11.508	-8.87	0.8	0.913	71.296	-1.0	3.725	0.0	0.0	0.0	0.0	0.8	0.0	33.033	0.86	4.1	81.353	92.704	9.111	-1.0	0.6	0.0	28.577	0.0	5.412	0.0	83.428	27.056	-11.909	32.2	0.0	37.101	1.36	5.162	0.0	37.295	20.808	-11.669	0.6	0.0	339.722	0.6	3.163	0.0	29.317	8.893	-1.0	37.6	2.011	92.026	0.98
0.96	1.725	78.163	91.376	24.513	-13.274	35.0	1.198	60.641	-0.4	2.288	70.187	34.123	33.231	-1.15	29.0	0.0	87.086	-0.94	2.788	0.0	70.551	24.15	-11.889	0.4	0.0	50.857	0.25	4.725	0.0	33.111	30.761	-1.149	35.6	1.089	55.603	0.37	4.35	0.0	94.639	11.145	-8.847	0.8	0.0	66.84	-1.0	3.35	0.0	0.0	0.0	0.0	0.8	0.0	46.013	0.7	3.913	63.806	92.64	9.402	-1.0	0.6	0.972	28.092	-0.1	5.162	0.0	82.347	26.983	-10.946	32.2	0.0	37.004	1.52	4.975	0.0	37.248	20.88	-12.661	0.6	0.0	330.423	0.68	2.975	0.0	29.324	8.748	-1.0	37.6	1.542	85.633	0.54
1.2	2.225	121.232	91.42	25.021	-13.064	35.0	1.282	62.772	-0.25	2.288	123.891	28.613	32.867	-1.15	29.0	0.0	90.089	-0.73	2.85	0.0	70.339	23.859	-11.943	0.4	1.064	59.478	0.32	4.787	0.0	33.118	30.906	-1.067	35.6	1.115	52.213	0.49	4.162	0.0	94.634	11.508	-8.833	0.8	0.0	61.803	-1.0	3.475	0.0	0.0	0.0	0.0	0.8	0.0	49.888	0.63	3.788	88.797	92.601	9.474	-25.593	0.6	1.399	26.542	0.01	5.162	0.0	81.783	26.983	-11.372	32.2	0.0	32.451	1.54	5.1	0.0	37.25	20.662	-11.86	0.6	0.0	346.31	0.72	2.85	0.0	29.327	9.184	-1.0	37.6	1.668	79.918	0.4
0.9	2.163	139.842	91.38	24.731	-13.657	35.0	1.089	78.852	-0.24	2.725	143.565	20.099	32.795	-7.639	29.0	0.0	90.767	-0.84	2.788	0.0	70.165	23.786	-11.511	0.4	1.106	60.641	0.22	4.725	0.0	33.109	30.833	-1.319	35.6	1.106	52.407	0.39	4.35	0.0	94.626	11.291	-8.869	0.8	0.0	67.712	-1.0	3.6	0.0	0.0	0.0	0.0	0.8	0.955	51.632	0.64	3.788	91.988	92.543	9.474	-25.024	0.6	1.525	38.845	-0.05	5.225	0.0	81.152	27.346	-10.985	32.2	0.0	37.876	1.18	5.162	0.0	37.34	21.68	-12.126	0.6	0.0	326.548	0.74	2.975	0.0	29.262	9.329	-1.0	37.6	1.575	70.134	0.48
