AmbientTemp	SurfaceTemp	SolarRadiation	RelHumidity	SoilMoisture	Watermark	RainMeter	WindSpeed	WindDirection	AmbientTemp_3	SurfaceTemp_3	SolarRadiation_3	RelHumidity_3	SoilMoisture_3	Watermark_3	RainMeter_3	WindSpeed_3	WindDirection_3	AmbientTemp_7	SurfaceTemp_7	SolarRadiation_7	RelHumidity_7	SoilMoisture_7	Watermark_7	RainMeter_7	WindSpeed_7	WindDirection_7	AmbientTemp_11	SurfaceTemp_11	SolarRadiation_11	RelHumidity_11	SoilMoisture_11	Watermark_11	RainMeter_11	WindSpeed_11	WindDirection_11	AmbientTemp_14	SurfaceTemp_14	SolarRadiation_14	RelHumidity_14	SoilMoisture_14	Watermark_14	RainMeter_14	WindSpeed_14	WindDirection_14	AmbientTemp_6	SurfaceTemp_6	SolarRadiation_6	RelHumidity_6	SoilMoisture_6	Watermark_6	RainMeter_6	WindSpeed_6	WindDirection_6	AmbientTemp_5	SurfaceTemp_5	SolarRadiation_5	RelHumidity_5	SoilMoisture_5	Watermark_5	RainMeter_5	WindSpeed_5	WindDirection_5	AmbientTemp_10	SurfaceTemp_10	SolarRadiation_10	RelHumidity_10	SoilMoisture_10	Watermark_10	RainMeter_10	WindSpeed_10	WindDirection_10	AmbientTemp_9	SurfaceTemp_9	SolarRadiation_9	RelHumidity_9	SoilMoisture_9	Watermark_9	RainMeter_9	WindSpeed_9	WindDirection_9	AmbientTemp_12	SurfaceTemp_12	SolarRadiation_12	RelHumidity_12	SoilMoisture_12	Watermark_12	RainMeter_12	WindSpeed_12	WindDirection_12
9.13	14.912	459.406	47.273	25.021	-12.766	34.8	1.869	221.832	7.14	11.912	487.056	47.544	33.957	-9.314	28.8	1.508	232.003	7.14	8.162	0.0	46.185	24.222	-8.445	0.4	0.0	163.419	8.33	18.538	0.0	48.59	30.979	-9.559	35.0	0.0	170.007	8.44	10.85	0.0	47.773	10.855	-10.118	0.0	0.0	227.741	7.03	8.412	0.0	48.512	0.0	0.0	0.2	0.0	176.594	7.2	3.288	458.343	52.465	10.927	-1.0	0.0	2.129	167.004	7.42	6.412	0.0	47.765	26.692	-14.711	31.6	1.634	186.668	7.2	2.163	0.0	49.023	24.658	-21.127	0.0	0.0	130.387	8.74	18.475	0.0	43.843	11.291	-30.024	37.2	1.676	203.523
8.96	15.787	464.724	48.026	25.53	-12.936	34.8	1.785	185.796	7.33	13.35	491.841	48.398	34.321	-9.509	28.8	1.399	226.578	7.28	8.475	0.0	45.581	24.513	-8.601	0.4	2.095	159.835	8.02	17.788	0.0	47.935	30.979	-9.479	35.0	0.0	162.451	7.58	11.225	0.0	51.409	11.291	-10.124	0.0	1.902	190.155	7.21	8.787	0.0	48.933	0.0	0.0	0.2	2.062	164.001	7.9	3.35	462.597	48.718	10.782	-1.0	0.0	0.0	157.801	7.34	6.6	0.0	49.438	26.692	-14.748	31.6	1.508	183.181	7.44	2.35	0.0	48.29	24.513	-21.284	0.0	0.0	134.262	8.66	18.288	0.0	44.118	10.637	-30.059	37.2	1.81	206.817
9.22	15.35	466.851	48.83	25.748	-12.813	34.8	1.617	180.856	7.9	13.537	496.627	47.673	33.667	-9.503	28.8	0.0	222.704	7.1	8.662	0.0	45.994	24.15	-8.682	0.4	0.0	177.659	8.67	19.663	0.0	49.768	31.051	-9.764	35.0	0.0	171.46	7.92	11.037	0.0	49.851	11.581	-10.052	0.0	1.852	205.17	7.17	8.787	0.0	49.05	0.0	0.0	0.2	0.0	174.85	7.76	4.1	467.382	49.403	10.274	-1.0	0.0	1.852	158.382	7.16	6.725	0.0	50.082	26.547	-14.773	31.6	1.307	192.287	7.2	2.225	0.0	50.148	24.731	-21.039	0.0	0.0	120.312	9.27	19.413	0.0	43.653	10.419	-30.631	37.2	1.349	196.161
8.88	14.662	471.104	50.497	25.748	-12.681	34.8	0.0	220.669	7.79	13.725	500.881	47.967	33.521	-9.569	28.8	0.905	246.921	7.42	9.912	0.0	45.255	24.949	-8.623	0.4	1.751	218.054	8.35	19.475	0.0	47.854	31.415	-9.746	35.0	0.0	173.688	8.0	10.975	0.0	48.67	10.855	-9.99	0.0	0.0	201.683	7.39	9.412	0.0	49.506	0.0	0.0	0.2	0.0	170.297	7.72	4.662	470.041	49.489	10.201	-1.0	0.0	1.819	173.494	7.68	7.162	0.0	46.965	26.474	-14.79	31.6	1.366	198.486	7.09	2.288	0.0	49.83	24.295	-21.161	0.0	0.0	139.008	9.2	19.475	0.0	46.005	11.291	-30.663	37.2	1.701	216.213
8.6	14.1	474.826	46.709	25.82	-12.575	34.8	0.0	197.711	7.96	14.1	505.134	48.542	33.594	-9.581	28.8	1.307	209.82	7.11	9.475	0.0	46.615	24.658	-8.72	0.4	0.0	167.585	8.69	19.413	0.0	48.76	30.906	-9.736	35.0	0.0	151.698	8.2	11.162	0.0	48.02	11.218	-9.985	0.0	0.0	204.298	7.58	9.225	0.0	46.891	0.0	0.0	0.2	0.0	176.012	7.83	5.725	476.953	49.564	10.201	-1.0	0.0	1.902	167.294	7.6	7.537	0.0	48.065	26.692	-16.404	31.6	0.0	237.04	7.46	2.163	0.0	47.863	24.44	-21.232	0.0	0.0	138.814	8.94	19.163	0.0	45.19	10.564	-30.632	37.2	1.877	199.842
8.96	14.85	480.144	47.747	25.167	-12.68	34.8	2.036	167.197	7.71	13.287	508.856	46.845	33.594	-9.5	28.8	1.073	270.17	7.46	9.475	0.0	46.814	24.077	-8.694	0.4	2.112	185.021	8.8	19.788	0.0	49.419	31.051	-9.739	35.0	0.0	177.562	8.1	11.412	0.0	48.099	10.927	-9.961	0.0	0.0	200.424	7.55	9.475	0.0	50.711	0.0	0.0	0.2	2.028	173.106	7.62	6.475	482.27	50.751	10.492	-1.0	0.0	1.534	166.229	7.52	7.537	0.0	48.423	26.474	-15.008	31.6	0.0	208.367	7.34	2.35	0.0	49.255	24.803	-21.179	0.0	0.0	124.671	9.07	19.288	0.0	45.707	10.564	-30.567	37.2	1.877	209.82
9.58	16.35	482.802	48.013	25.603	-13.01	34.8	1.684	178.531	7.89	12.787	514.174	47.579	33.594	-9.432	28.8	1.659	270.267	7.61	9.725	0.0	43.835	24.731	-8.859	0.4	0.0	191.608	8.9	19.1	0.0	46.374	30.833	-9.709	35.0	0.0	198.099	8.38	11.787	0.0	49.455	10.709	-10.014	0.0	1.936	205.945	7.48	9.475	0.0	49.274	0.0	0.0	0.2	0.0	176.109	7.62	7.287	485.461	51.475	10.492	-1.0	0.0	1.877	172.719	7.72	7.725	0.0	49.031	26.474	-14.905	31.6	0.0	203.33	7.76	2.475	0.0	46.944	24.803	-24.205	0.0	0.0	122.25	9.1	19.538	0.0	43.854	10.709	-30.564	37.2	1.751	193.643
9.93	16.788	488.651	47.251	25.748	-12.806	34.8	0.0	296.615	8.04	12.662	517.896	48.399	33.594	-9.431	28.8	1.433	291.191	7.25	10.412	0.0	47.034	24.803	-8.79	0.4	0.0	213.017	9.7	19.663	0.0	46.63	31.124	-9.775	35.0	0.0	197.421	8.3	11.725	0.0	47.724	10.855	-9.986	0.0	0.0	228.516	8.21	9.85	0.0	49.096	0.0	0.0	0.2	2.003	193.933	8.0	7.725	490.778	49.922	10.346	-1.0	0.0	1.768	167.391	7.3	6.787	0.0	49.858	26.474	-14.578	31.6	1.768	217.279	7.94	2.413	0.0	46.874	24.658	-21.512	0.0	0.0	117.309	9.19	19.725	0.0	46.41	11.0	-30.662	37.2	1.559	244.015
10.28	17.413	488.119	48.474	25.167	-13.226	34.8	0.0	240.431	7.82	13.662	530.657	46.859	33.376	-9.544	28.8	1.274	245.565	7.12	10.912	0.0	47.788	24.658	-8.887	0.4	0.0	249.73	9.58	19.538	0.0	46.177	30.833	-9.777	35.0	0.922	190.737	8.54	11.787	0.0	47.446	11.0	-9.985	0.0	2.129	217.279	8.58	9.912	0.0	47.76	0.0	0.0	0.2	0.0	204.105	8.07	7.912	495.032	50.357	10.782	-1.0	0.0	0.0	176.981	7.22	7.537	0.0	50.786	26.474	-14.866	31.6	0.0	220.379	7.24	2.35	0.0	50.032	24.731	-21.495	0.0	0.0	130.871	9.33	19.663	0.0	46.24	10.637	-30.629	37.2	1.324	252.927
9.7	17.038	493.968	48.923	25.748	-12.999	34.8	1.282	191.124	7.72	13.1	526.403	47.773	33.449	-9.49	28.8	1.651	258.739	7.34	10.912	0.0	46.86	23.859	-9.006	0.4	0.0	210.595	10.03	20.725	0.0	46.515	31.56	-9.966	35.0	0.0	192.771	8.48	12.162	0.0	48.978	11.581	-10.058	0.0	1.701	197.033	8.66	9.975	0.0	47.647	0.0	0.0	0.2	0.0	202.555	8.0	8.225	498.754	50.621	10.419	-1.0	0.0	0.0	166.035	7.3	7.6	0.0	51.099	26.474	-15.312	31.6	2.011	207.883	7.34	2.663	0.0	50.228	24.731	-21.477	0.0	0.0	119.925	9.4	19.975	0.0	44.522	10.637	-1.0	37.2	1.408	198.971
9.36	16.788	498.754	49.738	25.021	-13.098	34.8	1.894	219.604	7.66	13.787	529.062	49.298	33.667	-9.545	28.8	1.416	237.234	7.24	10.787	0.0	48.111	24.295	-9.144	0.4	2.02	212.823	9.81	21.225	0.0	50.532	30.761	-10.104	35.0	1.911	188.024	8.31	12.162	0.0	48.342	11.436	-10.011	0.0	0.0	182.793	7.96	9.912	0.0	49.032	0.0	0.0	0.2	2.112	155.67	7.96	8.725	505.134	50.494	10.709	-1.0	0.0	0.0	168.069	7.41	8.287	0.0	50.54	26.329	-14.88	31.6	1.441	170.394	7.63	2.663	0.0	48.866	24.367	-21.582	0.0	0.0	114.209	9.26	20.35	0.0	46.792	10.709	-30.857	37.2	1.609	221.154
9.82	16.788	499.285	48.106	25.53	-12.949	34.8	1.182	182.406	8.08	14.225	534.379	48.619	33.521	-9.632	28.8	0.913	253.799	7.2	11.162	0.0	48.381	24.44	-9.013	0.4	0.0	206.43	9.64	21.475	0.0	45.307	31.197	-10.112	35.0	0.0	194.805	8.5	12.412	0.0	49.348	11.363	-10.066	0.0	2.095	204.783	8.61	10.162	0.0	48.873	0.0	0.0	0.2	1.986	192.48	8.14	8.787	509.92	50.519	11.291	-1.0	0.0	2.028	162.548	7.3	8.1	0.0	50.646	26.547	-14.773	31.6	1.475	200.23	7.34	2.538	0.0	51.195	24.367	-21.653	0.0	0.0	128.837	9.06	19.975	0.0	45.581	10.855	-31.058	37.2	1.567	245.952
9.86	16.85	510.983	47.086	25.021	-12.961	34.8	1.048	194.03	8.9	14.412	535.443	47.554	33.594	-9.707	28.8	0.0	294.0	7.28	11.537	0.0	47.285	24.731	-8.746	0.4	0.0	213.017	9.9	20.6	0.0	44.708	31.633	-10.012	35.0	0.0	191.124	8.65	13.1	0.0	49.001	11.291	-10.186	0.0	1.542	219.894	8.84	10.662	0.0	49.546	0.0	0.0	0.2	0.0	186.668	8.06	9.162	514.705	51.234	10.637	-1.0	0.0	0.0	163.419	7.42	8.35	0.0	50.783	26.474	-14.893	31.6	1.768	198.196	7.72	2.475	0.0	48.664	24.803	-21.846	0.0	0.0	128.062	9.08	20.1	0.0	46.925	10.564	-30.725	37.2	1.575	218.829
