-77,-404,-355,21,-422,673,-222,72,19,133,-385,-108,-287,-56,-646,59,123,76,108,-243,-536,-205,176,-175,-487,436,-169,-216,-232,-128,-90,-464,-219,381,-52,-83,560,-73,-30,337,17,277,46,310,406,703,26,-85,-516,-314,-491,280,520,258,274,-101,82,123,492,159,381
-216,-323,209,531,-159,556,-366,-498,-199,-420,-44,-331,115,-617,103,63,-619,-160,643,24,144,-16,241,567,-388,239,-247,33,-481,482,-208,-508,-283,-495,-32,-223,411,230,-191,508,328,72,-6,496,367,-310,362,-407,-300,261,-488,0,-494,-10,235,-137,446,-354,-13,-413,-8
133,-285,-522,-230,-1,318,129,-452,604,-255,149,-133,357,89,280,171,-258,276,-283,271,299,-131,-557,-160,399,8,-49,-557,-445,-425,-21,-50,343,384,-643,-358,-273,58,128,33,-489,120,-260,-5,-147,98,579,-411,291,13,-308,-425,-179,-171,624,508,-421,185,-356,-193,416
-104,-60,-102,-124,-26,133,-255,-176,62,611,-34,-282,-303,-176,-341,513,-79,-242,-276,-420,170,223,140,290,-630,-573,185,278,-471,-586,273,-236,-460,361,-14,-10,-60,146,-263,302,-253,111,-284,-366,6,87,7,406,88,127,-210,42,25,423,436,20,-552,-98,353,368,83
-467,368,-381,81,208,281,-430,479,-56,-360,-494,-42,386,-356,-390,-353,-555,467,-247,575,-179,-46,-530,-129,-359,377,518,-169,247,226,199,43,-15,-372,-283,-481,129,287,-337,207,-436,-50,-81,231,28,427,-311,-379,72,-17,344,395,-149,255,516,552,341,-226,-5,-639,285
597,-398,141,-480,-212,121,41,-310,-54,-270,386,-309,434,695,118,242,-410,25,314,492,-296,-340,130,173,-225,-337,-420,-388,68,87,177,-32,-490,179,-32,431,-7,-208,-336,-67,-466,-70,-357,-357,458,430,-137,387,443,71,9,168,223,-226,-269,-88,-339,97,174,-42,30
-205,-405,598,129,435,338,436,422,-179,308,-334,-305,109,189,-385,-226,311,60,-200,-343,-199,-125,517,-244,-205,-39,-233,-36,-330,23,-185,108,124,-132,328,356,489,-267,38,-401,265,83,434,-90,249,-379,-428,-505,481,-492,-462,-562,529,-170,-732,159,57,-348,-87,-345,85
-8,227,-413,-500,27,218,-103,-610,-401,-232,-229,-460,314,282,-488,261,-431,465,297,40,-157,393,249,230,-471,273,-27,-302,-404,484,-467,-529,-471,-271,269,-63,-366,139,219,304,-434,-648,342,-109,491,-123,327,-315,-66,183,490,-322,344,445,639,225,-551,-48,-486,-507,458
907,588,52,557,185,149,-201,629,495,-96,115,218,-427,465,-795,340,200,-625,-402,-469,-190,312,204,-236,-280,3,175,-229,56,-600,-44,809,654,657,233,316,-422,-327,352,-184,321,-158,-265,-537,489,327,206,651,-290,148,-114,606,-62,-234,-9,-180,249,313,-218,399,-112
32,-442,434,-10,-621,204,260,165,277,-80,-368,-371,-241,-187,161,200,-457,-524,-151,328,-350,-112,463,194,-463,202,-208,239,65,-549,169,153,-233,-139,-555,-283,-400,325,-172,63,-111,294,-128,-526,628,346,75,363,186,301,-39,470,349,352,527,153,-220,-407,-497,-380,-185
