-171,-251,-435,484,626,60,543,-420,-642,151,-473,-377,-466,106,386,343,-386,434,392,-343,-411,266,-318,212,-145,-232,359,468,56,235,-470,-386,-457,167,-22,-253,515,538,-497,354,42,362,500,233,-634,-203,-5,43,-94,-409,552,-138,80,350,-144,516,534,257,-431,378,-514
-132,346,-173,172,-330,-299,468,243,69,296,-627,-461,475,-460,301,-646,-353,228,614,-303,217,-177,-372,-87,-26,423,-281,420,482,616,398,-517,691,-405,363,119,686,412,-381,-126,55,435,9,23,-551,291,-276,-548,-52,-303,-36,215,-119,-116,156,129,-284,-92,-381,587,102
-109,-303,235,367,287,-431,-308,-237,178,-247,-76,249,174,452,-690,505,280,-20,-656,448,-101,430,-487,38,202,-233,490,-582,282,-616,-221,-116,-474,-279,243,-349,304,-147,-254,-206,80,45,355,-322,96,-183,-174,300,94,-179,-46,571,294,609,-302,-288,-543,298,-265,552,374
386,-75,701,608,-468,289,329,294,-445,332,89,-20,-230,-422,140,110,-271,-587,481,-203,-13,-390,590,-256,-662,-315,-394,215,-507,-229,603,666,879,472,347,-16,558,-18,14,-599,366,455,60,591,-526,737,-61,132,703,-165,-358,-106,36,-456,-137,-858,-130,397,199,115,216
-444,-234,6,77,399,442,-207,386,191,83,62,-425,-358,-584,-125,359,60,147,-341,165,3,-546,147,334,573,394,-502,-353,12,153,508,-570,-304,-266,-355,317,210,386,308,-11,-220,492,-361,289,-583,-126,-558,-365,-188,-441,275,-342,-79,-508,479,-232,135,114,46,-441,220
540,70,-438,29,284,377,-367,-421,369,342,-155,255,202,-450,-231,31,-442,-222,73,359,-1,250,390,193,-189,-133,381,-272,145,4,488,-152,536,-199,-42,-45,-467,-457,502,-367,142,518,-365,-440,-121,467,324,322,-207,539,-368,85,-301,580,433,-111,334,-607,315,269,-420
390,11,-333,588,458,-209,637,502,209,-534,-361,567,239,-486,-111,289,-210,123,-396,-309,544,397,620,358,-181,-268,-457,129,-168,-131,3,4,-236,-462,329,92,662,196,-121,285,-58,362,-348,-165,-297,503,155,120,-222,291,290,-455,191,-513,-133,194,528,-443,304,-7,75
133,-183,-26,187,-392,-88,-609,-156,572,486,414,259,-264,-43,-412,-187,336,-428,216,77,-564,162,327,-284,131,100,615,-328,126,-254,27,102,524,469,-307,139,85,75,544,18,152,-361,148,-485,-6,67,589,-359,-181,329,120,495,-406,409,27,-446,-448,329,-135,-180,48
486,237,531,134,-346,242,-478,276,-203,292,-322,42,345,-470,264,-552,60,458,-270,280,-81,465,-298,135,-419,-559,-438,-288,-402,9,234,339,446,-240,-249,-534,-286,-49,314,-163,291,166,169,-479,210,-51,-358,-448,-142,276,-459,-435,-380,264,52,-441,443,-57,-316,399,147
-236,-149,99,-460,-65,350,-379,40,177,-273,323,-316,-84,406,-24,487,186,-65,-275,138,87,89,-417,66,-187,-563,21,-405,41,-499,73,366,-336,208,-106,-17,-198,172,-251,-544,603,-23,-412,-317,-164,-554,-327,576,-204,522,420,466,321,111,593,-420,-8,140,127,88,-243
