-312,-272,-798,-362,-517,157,496,510,452,-253,-59,-60,-5,163,-684,672,490,249,789,122,499,443,332,97,1,-13,436,271,-641,-60,-136,-78,347,-265,356,-759,373,-171,408,697,-402
-166,-494,-570,-27,-75,-511,625,764,-809,-17,211,-754,231,54,-157,648,216,-67,-212,-700,266,686,428,337,-663,402,658,687,-483,333,446,-5,-813,526,-284,-450,435,-76,205,-124,-3
-200,-200,73,363,315,776,-676,77,250,-336,-491,-83,-6,-291,-252,-72,164,-768,123,-212,-174,-611,524,-150,-568,523,-392,414,-365,-630,-730,620,757,-612,-766,593,111,324,-435,0,-5
-714,-123,549,-247,-566,703,-122,-350,400,309,541,838,617,-95,321,110,-290,177,-92,663,-349,291,176,241,78,19,65,382,514,439,295,-502,659,378,-22,418,-522,-115,346,93,-298
-329,-209,-15,-309,-632,666,-674,35,-290,269,482,687,45,-429,-408,440,719,-18,-743,283,-426,-131,-144,390,132,405,-309,-302,356,-313,-258,13,-63,36,232,60,338,-594,569,-687,-586
-67,89,-93,-454,-279,721,387,-289,808,-635,398,222,402,170,261,-554,675,-195,-374,468,-92,-337,39,-654,-183,574,-52,-36,-470,262,-300,635,-226,-520,231,-191,-680,13,-281,-278,128
-470,-747,609,-589,278,822,-277,-4,10,215,255,-289,-29,95,335,527,543,-672,-117,-218,-174,-101,537,-127,499,600,159,-616,655,-202,-648,740,654,-300,-314,-44,463,-518,630,-621,-638
-346,710,-688,231,24,-148,493,118,-763,586,185,167,-150,271,-694,143,-658,528,-300,-613,-242,-146,-222,417,11,-30,572,555,59,425,182,-422,117,466,336,422,411,650,96,151,468
-363,-350,346,-32,-227,737,-249,99,839,-519,695,-103,-506,-336,-393,-663,273,117,3,340,194,-528,238,-520,123,-294,-339,480,-375,107,254,346,408,-316,-263,734,399,-615,242,109,-372
-635,-234,288,-307,-690,117,134,336,-251,10,-517,702,-197,80,627,116,657,-264,2,149,244,342,-225,198,60,-113,331,-650,-422,154,301,572,448,459,-392,-479,-174,294,399,232,-15
114,687,426,498,270,-794,548,294,-816,-172,-524,-602,-66,668,475,657,-677,637,370,393,-77,763,690,110,374,318,-7,55,-513,365,-458,391,-432,478,612,-479,144,395,257,-503,498
143,-521,-107,335,314,92,446,640,452,-53,-301,-728,245,-411,29,-180,-480,-29,680,-482,135,-328,-417,194,-468,-607,-293,566,464,-225,-79,-711,127,621,643,29,538,169,-131,-239,-66
38,-496,106,-170,-185,-18,433,-318,-202,165,708,-293,-73,91,682,-646,85,-747,58,240,24,-235,-429,-367,-416,-530,-48,489,-197,-270,-725,-153,720,507,-225,200,-436,-558,543,-497,326
-418,301,-384,-719,6,-401,254,-537,241,-289,168,806,-306,-725,-9,-231,-241,219,-127,474,115,134,-111,-385,-305,-112,-217,-484,606,-392,280,-283,655,196,98,275,267,-520,491,16,-413
-339,255,-783,-249,33,-658,247,704,-485,499,-424,-5,181,-147,117,-147,367,-41,114,-497,354,96,-345,-484,97,132,-241,426,-540,-262,106,-103,291,697,339,298,629,666,-129,308,-517
-413,153,-335,-98,378,-750,669,602,270,166,-334,-25,-715,381,355,69,-697,-469,-2,-343,68,-246,299,108,-448,-533,525,490,-389,604,428,-624,-151,530,559,-61,609,511,-146,642,642
-78,530,-824,383,658,143,608,-164,-270,607,-491,-2,-479,-449,-686,174,386,-275,41,426,191,-388,25,178,-196,-622,-84,211,-294,-276,658,449,-344,10,-338,-603,140,575,-612,-200,28
242,86,-49,555,-248,-270,592,-75,310,35,-268,-831,-551,584,-265,-244,-399,128,229,147,-170,-85,255,430,294,-710,312,123,267,484,-126,-310,366,-424,28,-429,-487,215,-266,-34,-522
-481,-331,-275,149,49,135,-686,-351,480,-14,-378,-159,617,-502,116,-266,-349,-551,-168,287,-432,33,-357,-350,-415,24,-275,-741,42,-207,-424,638,-367,-96,-678,579,-535,16,616,-300,-347
158,564,228,-93,71,-137,-327,-497,-834,524,131,145,-67,-15,-190,465,327,193,-332,300,712,776,79,-227,-205,-155,283,-255,-705,651,-221,1,-1,-496,114,-527,-1,217,-254,116,699
